date,open,high,low,close,adjcp,volume,tic
2017-03-07,156.418,157.242,156.39,157.087,157.087,2000575.6153583,MMM
2017-03-07,51.4524,52.1421,51.2637,51.869,51.869,10590519.923689,MRK
2017-03-07,58.5281,59.0623,58.5281,58.7185,58.7185,18287363.424338,MSFT
2017-03-07,53.4348,53.6947,52.7833,53.2832,53.2832,7561293.6789031,NKE
2017-03-07,76.8679,77.1669,76.8077,76.9952,76.9952,6288990.3088463,PG
2017-03-07,106.666,106.666,105.83,106.233,106.233,2039415.4745305,TRV
2017-03-07,148.97,149.773,148.499,148.845,148.845,3055385.0,UNH
2017-03-07,84.2036,84.4991,84.0689,84.2703,84.2703,5997649.0,V
2017-03-07,38.3705,38.4171,37.879,37.9393,37.9393,16802858.334503,VZ
2017-03-07,20.4168,20.5073,20.4051,20.408,20.408,24932556.353638,WMT
2017-03-08,32.2712,32.4732,32.2417,32.2841,32.2841,77364978.0,AAPL
2017-03-08,149.772,151.045,149.675,150.194,150.194,2611556.6602688,AMGN
2017-03-08,42.4,42.6535,42.3395,42.525,42.525,43611100.0,AMZN
2017-03-08,73.6343,73.9747,72.6884,72.751,72.751,4700673.2401017,AXP
2017-03-08,170.57,170.84,169.69,169.92,169.92,2482204.0,BA
2017-03-08,81.3937,82.5873,80.3204,80.639,80.639,10819661.614143,CAT
2017-03-08,82.96,83.84,82.9364,83.48,83.48,3733791.0,CRM
2017-03-08,28.6094,28.6467,28.3953,28.4748,28.4748,21669193.208831,CSCO
2017-03-08,87.0855,87.2844,85.3074,85.477,85.477,11626427.485273,CVX
2017-03-08,106.17,106.61,105.97,106.14,106.14,5147140.0,DIS
2017-03-08,226.938,227.957,223.331,223.919,223.919,4003625.0558719,GS
2017-03-08,127.771,128.556,127.525,128.399,128.399,4132566.9509467,HD
2017-03-08,112.581,113.28,112.226,112.748,112.748,3503492.611246,HON
2017-03-08,137.986,138.152,136.883,137.0,137.0,4659455.5192386,IBM
2017-03-08,30.415,30.6084,30.291,30.3681,30.3681,24087355.365115,INTC
2017-03-08,106.361,107.205,106.166,106.675,106.675,9201209.7707008,JNJ
2017-03-08,78.8203,78.9667,77.4744,77.5687,77.5687,20429131.440535,JPM
2017-03-08,34.6577,34.6783,34.4434,34.6499,34.6499,17740581.092905,KO
2017-03-08,111.74,111.995,111.219,111.76,111.76,4093772.1990869,MCD
2017-03-08,157.601,157.998,156.99,157.436,157.436,1884160.869915,MMM
2017-03-08,51.869,51.992,51.3249,51.7431,51.7431,10705570.234927,MRK
2017-03-08,58.5894,59.3426,58.5806,59.2556,59.2556,22348787.209979,MSFT
2017-03-08,53.651,53.651,53.056,53.2435,53.2435,8071027.2715638,NKE
2017-03-08,76.7623,77.0465,76.5444,76.8679,76.8679,6463514.925498,PG
2017-03-08,107.01,107.374,105.868,106.036,106.036,2507880.9727921,TRV
2017-03-08,148.776,149.533,148.043,149.053,149.053,2307324.0,UNH
2017-03-08,84.3738,84.4991,84.0887,84.1746,84.1746,6195823.0,V
2017-03-08,37.8344,37.8567,37.5265,37.7266,37.7266,18500893.36601,VZ
2017-03-08,20.5048,20.6047,20.4608,20.5383,20.5383,27120247.208312,WMT
2017-03-09,32.2218,32.2348,31.8357,32.2091,32.2091,88750858.0,AAPL
2017-03-09,150.438,151.327,149.616,151.19,151.19,2552103.4450029,AMGN
2017-03-09,42.55,42.82,42.5155,42.65,42.65,39434920.0,AMZN
2017-03-09,72.889,73.3594,72.5346,72.9922,72.9922,4966900.4861318,AXP
2017-03-09,169.65,170.75,167.91,168.86,168.86,3315503.0,BA
2017-03-09,79.9642,80.6302,78.2014,79.0469,79.0469,10706668.217145,CAT
2017-03-09,83.19,83.58,82.81,83.28,83.28,3645980.0,CRM
2017-03-09,28.4916,28.5485,28.3482,28.5132,28.5132,20422727.356332,CSCO
2017-03-09,85.2313,85.9082,84.6167,85.8126,85.8126,9292062.5118478,CVX
2017-03-09,106.2,106.61,105.99,106.33,106.33,4182751.0,DIS
2017-03-09,224.762,226.143,223.242,223.871,223.871,3418549.9782445,GS
2017-03-09,128.526,128.596,128.065,128.135,128.135,4113286.2797558,HD
2017-03-09,112.698,113.299,111.98,112.384,112.384,2784134.8004719,HON
2017-03-09,136.785,136.843,134.277,135.282,135.282,7130093.1412804,IBM
2017-03-09,30.3544,30.6436,30.2685,30.542,30.542,26651054.806668,INTC
2017-03-09,107.108,108.5,106.714,108.274,108.274,9969618.5034592,JNJ
2017-03-09,77.9027,78.3596,77.5177,77.8743,77.8743,16131756.392233,JPM
2017-03-09,34.7331,34.7506,34.5932,34.6821,34.6821,17566143.506277,KO
2017-03-09,111.621,112.33,111.386,111.798,111.798,3743195.0107799,MCD
2017-03-09,157.233,158.162,157.165,157.765,157.765,1873567.1993166,MMM
2017-03-09,51.8737,51.9226,51.5154,51.8127,51.8127,9836787.0257238,MRK
2017-03-09,59.4375,59.447,58.7927,59.0182,59.0182,21056358.197865,MSFT
2017-03-09,53.3397,53.3872,52.8498,53.1046,53.1046,6543768.7545834,NKE
2017-03-09,76.8679,77.1669,76.8294,77.0386,77.0386,6552159.3250138,PG
2017-03-09,106.4,106.961,106.135,106.616,106.616,1952051.6825584,TRV
2017-03-09,149.265,150.088,148.904,149.143,149.143,4091571.0,UNH
2017-03-09,84.2324,84.6846,83.941,84.3171,84.3171,6289458.0,V
2017-03-09,37.7712,37.9471,37.6615,37.8179,37.8179,13796204.766653,VZ
